MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
HondaBrioE MT,Honda,Brio,E MT,Hatchback,Petrol,6,Manual,Silver,"65,000",1,3.8,6.6,554012,287950,48.0
HondaCivic1.8V MT,Honda,Civic,1.8V MT,Sedan,Petrol,8,Manual,Black,"51,000",1,4.3,6.2,1585200,445302,71.9
HondaCivic1.8V AT,Honda,Civic,1.8V AT,Sedan,Petrol,8,Automatic,Silver,"69,000",1,4.3,8.9,1675849,497200,70.3
HondaBrioS MT,Honda,Brio,S MT,Hatchback,Petrol,6,Manual,Blue,"60,000",1,4.8,4.5,613352,278838,54.5
HondaAccord2.4 VTi-L MT,Honda,Accord,2.4 VTi-L MT,Sedan,Petrol,10,Manual,Golden,"69,368",2,4.8,6.5,1883226,468832,75.1
HondaBrioVx(o)At,Honda,Brio,Vx(o)At,SUV,Petrol,5,Automatic,Blue,"40,000",1,5,7.2,819449,450000,45.1
HondaAmaze1.2 VX  (O)  i-VTEC,Honda,Amaze,1.2 VX  (O)  i-VTEC,Sedan,Petrol,4,Manual,Red,"45,000",1,4.8,9.4,853837,426550,50.0
HondaCr-V2.0l2wdAt,Honda,Cr-V,2.0l2wdAt,Hatchback,Petrol,11,Automatic,Black,"61,000",1,8.4,9.9,2882006,469775,83.7
HondaAmaze1.2 VX AT i-VTEC,Honda,Amaze,1.2 VX AT i-VTEC,Sedan,Petrol,3,Automatic,Silver,"21,000",1,9.9,5.2,982415,592800,39.7
HondaJazzVCvtI-vtec,Honda,Jazz,VCvtI-vtec,MUV,Petrol,1,Manual,Black,"12,149",1,4.6,4.7,975803,813750,16.6
HondaCr-V2.4 AT,Honda,Cr-V,2.4 AT,SUV,Petrol,5,Automatic,White,"106,000",1,3.3,8.2,2492227,1315750,47.2
HondaBrioS MT,Honda,Brio,S MT,Hatchback,Petrol,5,Manual,White,"30,000",1,5,4.2,613352,333750,45.6
HondaCivic1.8Mt,Honda,Civic,1.8Mt,Hatchback,Petrol,10,Manual,White,"70,000",2,9.9,8.9,1402739,265200,81.1
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,8,Manual,White,"55,000",1,5,4,996627,426550,57.2
HondaCr-V2.4 MT,Honda,Cr-V,2.4 MT,SUV,Petrol,10,Manual,White,"80,000",2,4.3,8.5,2860962,371604,87.0
HondaJazzSelect,Honda,Jazz,Select,Hatchback,Petrol,5,Manual,Red,"50,790",1,3.8,7.2,720048,435918,39.5
HondaJazzX,Honda,Jazz,X,Hatchback,Petrol,8,Manual,Black,"50,237",1,4.8,9.2,755762,389238,48.5
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,11,Manual,Black,"100,700",2,4.5,7.7,837628,198000,76.4
Maruti SuzukiCelerioVxi CNG,Maruti Suzuki,Celerio,Vxi CNG,Hatchback,Petrol + CNG,3,Manual,Grey,"32,000",1,4.8,8.6,586949,342958,41.6
HondaBrioS MT,Honda,Brio,S MT,Hatchback,Petrol,6,Manual,Red,"33,664",1,4.5,6.6,613352,310800,49.3
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,9,Manual,Red,"66,000",2,8.5,8.3,462988,162800,64.8
HondaCity1.5 V AT,Honda,City,1.5 V AT,Sedan,Petrol,6,Automatic,Brown,"44,000",1,4.3,9.9,1139496,511438,55.1
ToyotaCorolla AltisG Diesel,Toyota,Corolla Altis,G Diesel,Sedan,Diesel,7,Manual,Golden,"82,000",1,4.8,9.1,2109722,497200,76.4
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,8,Manual,Golden,"61,000",1,5,8.1,1317441,724398,45.0
